Name	Clone	Marker	Against	Isotype	Company	Cat..	Dilution.for.FACS	Box	Location	Back.up	Storage	Application	Group
61	FANCD2			Human	rabbit polyclonal	Novus Biologicals	NB100-182SS	1:500	Abs freezer box 1	NA		Freezer	WB/IF	Van Boxtel
62	CD4 AF700	OKT4	AF700	Human	Mouse IgG2b, κ	Biolegend	317426		Abs box 1	B7		Fridge	NA	Van Boxtel
63	HLA-DR FITC	L243	FITC	Human	Mouse IgG2a kappa 	Biolegend	307603	1:20	Abs box 4	B4	Yes	Fridge	NA	Van Boxtel
64	CD25 PerCP-Cy5.5	M-A251	PerCP-Cy5.5	Human	Mouse BALB/c IgG1, κ	BD Pharmigen	560503		Abs box 2	C2		Fridge	NA	Van Boxtel
65	CD95 PE	DX2	PE	Human	mouse IgG1 kappa	BioLegend	305607	1:50	Abs box 3	C8		Fridge	NA	Van Boxtel
66	CD205 BUV395	MMR1-7	BUV395	Human	Mouse IgG1, κ	BD Bioscience	744062		Abs box 4	A5		Fridge	NA	Van Boxtel
67	CD1a BV421	HI149	BV421	Human	Mouse IgG1, k 	Biolegend	300128		Abs box 1	A2		Fridge	NA	Van Boxtel
68	CDT1	D10F11		Human	rabbit monoclonal	Cell Signaling Technology	8064S	?	Abs freezer box 1	NA		Freezer	WB	Van Boxtel
69	beta-Actin	RM112	n.a.	Human	rabbit mAb	Merck	MABT523	WB (1:5000)	Abs box 5	B3		Fridge	NA	Van Boxtel
70	CD8a BV421	RPA-T8	BV421	Human	Mouse IgG1, κ	Biolegend	301036		Abs box 1	C8		Fridge	NA	Van Boxtel
71	RPA32/RPA2	9H8		Human	mouse monoclonal	Abcam	ab2175		Abs freezer box 2	NA		Freezer	WB/IF	Van Boxtel
72	PMS1	E-3	n.a.	Human	Mouse mAb	Santa Cruz Biotechnology	sc-515302	WB	Abs box 5	B9		Fridge	NA	Van Boxtel
73	Zombie NIR Dye					BioLegend	77184		Abs freezer box 1	NA		Freezer	FACS	Van Boxtel
74	anti-rabbit IgG AF594	n.a.	Alexa Fluor 594	rabbit	goat	invitrogen	2165334	IF	Abs box 5	A5		Fridge	NA	Van Boxtel
75	CellTrace Violet					Invitrogen	C34571		Abs freezer box 1	NA		Freezer	FACS	Van Boxtel
76	Ghost Dye Red 780			Mammalian cells		Tonbo biosciences	13-0865	1:2000(see tube)	Abs freezer box 2	NA		Freezer	FACS	Van Boxtel
77	CD8a APC/Cy7	HIT8a	APC/Cy7	Human	Mouse IgG1, κ	Biolegend	300925		Abs box 1	C10		Fridge	NA	Van Boxtel
78	NFIA			Human	Rabbit	Sigma	HPA008884-25ul	1:500 IF	Abs freezer box 2	NA		Freezer	WB/IF	Van Boxtel
79	TCRgd APC	B1	APC	Human	Mouse IgG1, κ	BD Bioscience	561049		Abs box 4	B10	YES	Fridge	NA	Van Boxtel
80	anti-mouse IgG AF488	n.a.	Alexa Fluor 488	Mouse	Goat / IgG	invitrogen	2220848	IF	Abs box 5	B1		Fridge	NA	Van Boxtel
81	mouse IgG FITC isotype control		FITC		mouse mAb	Merck	12-487		Abs freezer box 1	NA		Freezer	FACS	Van Boxtel
82	CD45 APC-R700	HI30	APC-R700	Human	Mouse IgG1, k 	Biolegend	304023	1:2000	Abs box 3	A4		Fridge	NA	Van Boxtel
83	CD15 AF700	HI98	AF700	Human	Mouse IgM kappa	BioLegend	301919		Abs box 2	A9		Fridge	NA	Van Boxtel
84	CD15 (SSEA-1) FITC	HI98	FITC	Human	mouse IgM kappa	BioLegend	301903		Abs box 2	A6	YES	Fridge	NA	Van Boxtel
85	CD5 PE	UCHT2	PE	Human	Mouse IgG1, κ 	BioLegend	300608		Abs box 1	C1		Fridge	NA	Van Boxtel
86	CD40 AF700	5C3	Alexa Fluor 700	Human	mouse IgG1 kappa	BioLegend	334327	1:50	Abs box 2	D7		Fridge	NA	Van Boxtel
87	anti-rabbit IgG AF647	Poly4064	Alexa Fluor 647	Rabbit	donkey polyclonal	BioLegend	406414	FACS	Abs box 5	A6		Fridge	NA	Van Boxtel
88	CD123 PE/Cy7	6H6	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	306009		Abs box 3	D8		Fridge	NA	Van Boxtel
89	CD13 APC	WM15	APC	Human	mouse IgG1 kappa	BioLegend	301705		Abs box 1	E3		Fridge	NA	Van Boxtel
