Name	Clone	Marker	Against	Isotype	Company	Cat..	Dilution.for.FACS	Box	Location	Back.up	Storage	Application	Group
375	CD201/EPCR APC	RCR-401	APC	Human	Rat IgG1, Kappa	BioLegend	351905	1:50	Abs box 4	A4	YES	Fridge	NA	Van Heesch
376	anti-rabbit IgG IRDye 800CW	n.a.	IRDye 800CW	Rabbit	goat	LI-COR	925-32211	WB (1:10000)	Abs box 5	A8		Fridge	NA	Van Heesch
377	Streptavidin BUV661	n.a.	BUV661	Mouse	n.a.	BD BIoscience	565081	FACS	Abs box 5	C10		Fridge	NA	Van Heesch
378	p95/NBS1 (Y112)			Human	rabbit monoclonal	Abcam	ab32074		Abs freezer box 1	NA		Freezer	WB	Van Heesch
379	CD8a APC/Cy7	HIT8a	APC/Cy7	Human	Mouse IgG1, κ	Biolegend	300925		Abs box 1	C10		Fridge	NA	Van Heesch
380	TCR Vg9 APC	B3	APC	Human	Mouse IgG1, κ	Biolegend	331309		Abs box 4	C9		Fridge	NA	Van Heesch
381	CD11c FITC	3.9	FITC	Human	Mouse IgG1, kappa	BioLegend	301604		Abs box 1	D8	YES	Fridge	NA	Van Heesch
382	SMUG1			Human	rabbit polyclonal	Invitrogen	PA5-44258	1:1000	Abs freezer box 1	NA		Freezer	WB	Van Heesch
383	CD44 BV510	IM7	BV510	Human	Rat IgG2b, k 	Biolegend	103044		Abs box 3	A2		Fridge	NA	Van Heesch
384	DAPI 500 uM	n.a.	n.a.	Human	n.a.	Thermo	D3571	All (IF 1:2000, FACS 1:500)	Abs box 5	D7		Fridge	NA	Van Heesch
385	CD34 BV421	581	Brilliant Violet 421	Human	mouse IgG2a kappa	BioLegend	343609	1:20	Abs box 2	D2	YES	Fridge	NA	Van Heesch
386	CD123 APC Fire 750	6H6	APC Fire 750	Human	Mouse IgG1 k 	BioLegend	306041		Abs box 3	D9		Fridge	NA	Van Heesch
387	Anti-rabbit IgG AF488	n.a.	Alexa Fluor 488	Rabbit	Goat	invitrogen	2284595	IF	Abs box 5	A7		Fridge	NA	Van Heesch
388	CD3 FITC	OKT3	FITC	Human	mouse IgG2a kappa	Biolegend	317306	1:100	Abs box 1	A5		Fridge	NA	Van Heesch
389	CD7 PECy7	MT701	PE/Cy7	Human	Mouse BALB/c IgG1, κ	BD Pharmingen	564019		Abs box 1	C4		Fridge	NA	Van Heesch
390	aliquot CD13 PerCP/Cy5.5	WM15	PerCP/Cy5.5	Human	Mouse IgG1, κ	BD Biosciences	561361	FACS	Abs box 5	D10		Fridge	NA	Van Heesch
391	HLA-DR FITC	L243	FITC	Human	Mouse IgG2a kappa 	Biolegend	307603	1:20	Abs box 4	B4	Yes	Fridge	NA	Van Heesch
392	CD20 PerCP	2H7		Human	Mouse IgG2b, kappaa	BioLegend	302323		Abs box 2	C1		Fridge	NA	Van Heesch
393	CD14 BV750	63D3	BV750	Human	Mouse IgG1, k	BioLegend	367135		Abs box 2	A4		Fridge	NA	Van Heesch
394	CD41 BV510	HIP8	BV510	Human	Mouse IgG1, kappa	BioLegend	303735		Abs box 2	E1		Fridge	NA	Van Heesch
395	CD235a PE/Cy7	6A-R2	PE/Cy7	Human	mouse IgG2b kappa	BioLegend	563666		Abs box 4	A7		Fridge	NA	Van Heesch
396	CD40 BUV563	5C3	BUV563	Human	?	BD Bioscience	741381		Abs box 2	D10		Fridge	NA	Van Heesch
397	FANCA	EPR16519		Human	rabbit monoclonal	Abcam	ab201457		Abs freezer box 1	NA		Freezer	WB	Van Heesch
398	TCRgd APC/Fire 750	B1	APC/Fire 750	Human	Mouse IgG1, κ	BioLegend	331227		Abs box 4	C1		Fridge	NA	Van Heesch
399	CD3 APC/Fire750	SK7	APC/Fire750	Human	mouse IgG1 kappa	BioLegend	344839	1:100	Abs box 1	B1	YES	Fridge	NA	Van Heesch
400	CD56 AF488	B159	AF488	Human	Mouse IgG1, κ	BD Pharmigen	557699		Abs box 3	B5		Fridge	NA	Van Heesch
401	CD27 APCCy7	M-T271	APC/Cy7	Human	Mouse IgG1, κ	BioLegend	356423		Abs box 2	C4	YES	Fridge	NA	Van Heesch
402	Ghost Dye Red 780			Mammalian cells		Tonbo biosciences	13-0865	1:2000(see tube)	Abs freezer box 2	NA		Freezer	FACS	Van Heesch
403	TCR Vg9 PE/Cy5	B3	PE Cy5	Human	Mouse IgG1, κ	BioLegend 	331323		Abs box 4	C7		Fridge	NA	Van Heesch
404	CD5 APC	UCHT2	APC	Human	Mouse IgG1, κ	BioLegend	300611		Abs box 1	B10		Fridge	NA	Van Heesch
405	TCRab FITC	IP26	FITC	Human	Mouse IgG1, κ	Biolegend 	306705		Abs box 4	B8		Fridge	NA	Van Heesch
406	CD141 APC	M80	APC	Human	Mouse IgG1 k	BioLegend	344105		Abs box 4	A1		Fridge	NA	Van Heesch
407	CD3 APC	HIT3a	APC	Human	mouse IgG2a kappa	BioLegend	300311		Abs box 1	A10	YES (2x)	Fridge	NA	Van Heesch
408	LFA-1 (CD11a/CD18)	M24	None	Human	Mouse mAb	Biolegend	363402	Interaction blocking	Abs box 5	C5	YES	Fridge	NA	Van Heesch
409	CD11b BV785	ICRF44	BV785	Human	Mouse IgG1, κ	Biolegend	301345		Abs box 1	D5		Fridge	NA	Van Heesch
410	CD41 APC/Fire750	HIP8	APC/Fire750	Human	Mouse IgG, kappa	Biolegend	303749		Abs box 2	E2		Fridge	NA	Van Heesch
411	CD34 PE/Dazzle 594	581	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	343533		Abs box 2	D3	YES	Fridge	NA	Van Heesch
412	CD30 APC/Fire750	BY88	APC/Fire750	Human	Mouse IgG1, k	BioLegend	333915		Abs box 2	C6		Fridge	NA	Van Heesch
413	FANCD2			Human	rabbit polyclonal	Novus Biologicals	NB100-182SS	1:500	Abs freezer box 1	NA		Freezer	WB/IF	Van Heesch
414	rabbit IgG PE isotype control	DA1E	PE		rabbit mAb	Cell Signaling Technology	5742S	FACS	Abs box 5	A2		Fridge	NA	Van Heesch
415	CD11b APC	ICRF44	APC	Human	mouse IgG1 kappa	Biolegend	301309		Abs box 1	D7		Fridge	NA	Van Heesch
416	Human TruStain FC block	n.a.	n.a.	Human	n.a.	Biolegend	422301	FACS	Abs box 5	A3		Fridge	NA	Van Heesch
417	FANCG			Human	monoclonal	Abnova	H00002189-M01		Abs freezer box 1	NA		Freezer	WB	Van Heesch
418	CD8a BV421	RPA-T8	BV421	Human	Mouse IgG1, κ	Biolegend	301036		Abs box 1	C8		Fridge	NA	Van Heesch
419	pChk2 PE	C13C1	PE	Human	rabbit mAb	Cell Signaling Technology	12812S	FACS	Abs box 5	A1		Fridge	NA	Kuiper
420	CD123 BUV395	7G3	BUV395	Human	Mouse IgG2a, κ	BD Bioscience	564195		Abs box 3	D7		Fridge	NA	Kuiper
421	beta-Actin	RM112	n.a.	Human	rabbit mAb	Merck	MABT523	WB (1:5000)	Abs box 5	B3		Fridge	NA	Kuiper
422	CD27 APCCy7	M-T271	APC/Cy7	Human	Mouse IgG1, κ	BioLegend	356423		Abs box 2	C4	YES	Fridge	NA	Kuiper
423	CD3 AF700	Ucht1	AF700	Human	Mouse IgG1, k	Biolegend	300403		Abs box 1	B3	Yes	Fridge	NA	Kuiper
424	FANCG			Human	monoclonal	Abnova	H00002189-M01		Abs freezer box 1	NA		Freezer	WB	Kuiper
425	CD56 BUV661	NCAM16.2	BUV661	Human	Mouse BALB/c IgG2b, κ	BD optibuild	750478		Abs box 3	B7		Fridge	NA	Kuiper
426	CCRL1 BV786	13E11	Brilliant Violet 786	Human	Mouse BALB/c IgG2b, κ	BD Bioscience	747802		Abs box 4	D1		Fridge	NA	Kuiper
427	CD25 PerCP-Cy5.5	M-A251	PerCP-Cy5.5	Human	Mouse BALB/c IgG1, κ	BD Pharmigen	560503		Abs box 2	C2		Fridge	NA	Kuiper
428	CD25 BB515	2A3	BB515	Human	Mouse BALB/c IgG1, κ	BD Bioscience	564468	1:200	Abs box 2	C3		Fridge	NA	Kuiper
429	CD34 BV421	581	Brilliant Violet 421	Human	mouse IgG2a kappa	BioLegend	343609	1:20	Abs box 2	D2	YES	Fridge	NA	Kuiper
430	anti-mouse IgG AF647	n.a.	Alexa Fluor 647	Mouse	goat	Invitrogen	2272554	IF	Abs box 5	B8		Fridge	NA	Kuiper
431	HLA-DR FITC	L243	FITC	Human	Mouse IgG2a kappa 	Biolegend	307603	1:20	Abs box 4	B4	Yes	Fridge	NA	Kuiper
432	CD105 PE/Cy7	43A3	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	323217		Abs box 3	C9	YES	Fridge	NA	Kuiper
433	CD56 AF488	B159	AF488	Human	Mouse IgG1, κ	BD Pharmigen	557699		Abs box 3	B5		Fridge	NA	Kuiper
434	MPG	EPR10959(B)		Human	rabbit mAb	Abcam	ab155092	1:10000	Abs freezer box 1	NA		Freezer	WB	Kuiper
435	CD56 BV711	HCD56	Brilliant Violet 711	Human	mouse IgG1 kappa	BioLegend	318335		Abs box 3	B4	YES	Fridge	NA	Kuiper
436	anti-rabbit IgG IRDye 800CW	n.a.	IRDye 800CW	Rabbit	goat	LI-COR	925-32211	WB (1:10000)	Abs box 5	A8		Fridge	NA	Kuiper
437	CD45 APC-R700	HI30	APC-R700	Human	Mouse IgG1, k 	Biolegend	304023	1:2000	Abs box 3	A4		Fridge	NA	Kuiper
438	CD30 PE 	BY88	PE	Human	Mouse IgG1 k	BioLegend	333906		Abs box 2	C7	YES	Fridge	NA	Kuiper
439	CD45RA PerCP/Cy5.5	HI100	PerCP/Cy5.5	Human	mouse IgG2b kappa	BioLegend	304121	1:20	Abs box 3	B2		Fridge	NA	Kuiper
440	CD34 PE 	561	PE	Human	mouse IgG2a kappa	BioLegend	343605		Abs box 2	D4		Fridge	NA	Kuiper
441	Annexin V/FITC	n.a.	FITC	Human	n.a.	Invitrogen	BMS306F1-100	FACS	Abs box 5	A4		Fridge	NA	Kuiper
442	TCRgd BV421	11FS	BV421	Human	Mouse BALB/c IgG1	BD Bioscience	744870		Abs box 4	C2		Fridge	NA	Kuiper
443	HLA-DR BV605	L243	BV605	Human	Mouse IgG2a kappa 	BioLegend	307639		Abs box 4	B5	Yes	Fridge	NA	Kuiper
444	CD40 PE/Cy7	5C3	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	334321		Abs box 2	D8		Fridge	NA	Kuiper
445	BATF3	841702	PE	Human	Mouse	NovusBio	FAB7437P	FACS	Abs box 5	C8		Fridge	NA	Kuiper
446	CD10 APC	HI10a	APC	Human	Mouse IgG1, κ	Biolegend	312209		Abs box 1	D3	YES (2x)	Fridge	NA	Kuiper
447	CD45 PECy7	HI30	PECy7	Human	Mouse IgG, kappa	Biolegend	304015		Abs box 3	A10		Fridge	NA	Kuiper
448	CD31 BV605	L133.1	BV605	Human	Mouse IgG1, κ	BD Bioscience	745119		Abs box 2	C8	YES	Fridge	NA	Kuiper
449	CD8a BV421	RPA-T8	BV421	Human	Mouse IgG1, κ	Biolegend	301036		Abs box 1	C8		Fridge	NA	Kuiper
450	CD80 BV510	2D10	Brilliant Violet 510	Human	Mouse IgG1, κ	Biolegend	305233		Abs box 3	C3	YES	Fridge	NA	Kuiper
451	CD19 BV785	HIB19	BV785	Human	mouse IgG1 kappa	BioLegend	302239		Abs box 2	B7		Fridge	NA	Kuiper
452	Streptavidin BV711	n.a.	Brilliant Violet 711	Human	n.a.	BioLegend	405241	FACS	Abs box 5	D1		Fridge	NA	Kuiper
453	HA-Tag 	C29F4		Human	rabbit mAb	Cell Signaling Technology	3724S		Abs freezer box 1	NA		Freezer	WB	Kuiper
454	CD205 BUV395	MMR1-7	BUV395	Human	Mouse IgG1, κ	BD Bioscience	744062		Abs box 4	A5		Fridge	NA	Kuiper
455	CD16 APC	3G8	APC	Human	mouse IgG1 kappa	BioLegend	302012		Abs box 2	B1		Fridge	NA	Kuiper
456	H3K36me2	C75H12		human	rabbit monoclonal	Cell Signaling Technology	2901	1:1000	Abs freezer box 1	NA		Freezer	WB	Kuiper
457	Ghost Dye Red 780			Mammalian cells		Tonbo biosciences	13-0865	1:2000(see tube)	Abs freezer box 2	NA		Freezer	FACS	Kuiper
458	CD15 (SSEA-1) FITC	HI98	FITC	Human	mouse IgM kappa	BioLegend	301903		Abs box 2	A6	YES	Fridge	NA	Kuiper
459	CD3 FITC	OKT3	FITC	Human	mouse IgG2a kappa	Biolegend	317306	1:100	Abs box 1	A5		Fridge	NA	Kuiper
460	CD201/EPCR APC	RCR-401	APC	Human	Rat IgG1, Kappa	BioLegend	351905	1:50	Abs box 4	A4	YES	Fridge	NA	Kuiper
461	CD4 PE/Cy7	L200	PE-Cy7	Human	Mouse BALB/c IgG1, κ	BD Pharmingen	560644		Abs box 1	B6		Fridge	NA	Kuiper
462	CD95 PE	DX2	PE	Human	mouse IgG1 kappa	BioLegend	305607	1:50	Abs box 3	C8		Fridge	NA	Kuiper
463	SMUG1			Human	rabbit polyclonal	Invitrogen	PA5-44258	1:1000	Abs freezer box 1	NA		Freezer	WB	Kuiper
464	CD249 BV650	2D3/APA	BV650	Human	Mouse BALB/c IgG1, κ	BD Bioscience	745361		Abs box 4	A8		Fridge	NA	Kuiper
465	POLI			Human	rabbit polyclonal	Novus biologicals	NB100-175	1:500 IF	Abs freezer box 2	NA		Freezer	WB/IF	Kuiper
466	TCRab APC	T10B9.1A-31	APC	Human	Mouse IgG1, κ	BD Bioscience	563821		Abs box 4	B7		Fridge	NA	Kuiper
467	CD64 FITC	10.1	FITC	Human	Mouse IgG1, k	BioLegend	305005		Abs box 3	B9	YES (2x)	Fridge	NA	Kuiper
468	TCR Vg9 APC/Fire 750	B3	APC Fire750 	Human	Mouse IgG1, κ	BioLegend 	331315		Abs box 4	C6		Fridge	NA	Kuiper
469	CD33 APC	WM53	APC	Human	mouse IgG1 kappa	BioLegend	303407	1:50	Abs box 2	C10	YES	Fridge	NA	Kuiper
470	CD5 BUV737	UCHT2	BUV737	Human	Mouse BALB/c IgG1, κ	BD Bioscience	564451	1:500	Abs box 1	B9		Fridge	NA	Kuiper
471	CD14 PE	63D3	PE	Human	mouse IgG1 kappa	BioLegend	367103		Abs box 2	A1	YES	Fridge	NA	Kuiper
472	CD42b PE	HIP1	PE	Human	mouse IgG1 kappa	BioLegend	303905	1:20	Abs box 2	E3	YES	Fridge	NA	Kuiper
473	OGG1	EPR4664(2)		Human	rabbit mAb	Abcam	ab124741	1:10000	Abs freezer box 1	NA		Freezer	WB	Kuiper
474	CHD-1			Human	rabbit polyclonal	Sigma	HPA022236-25ul	1:500 IF	Abs freezer box 2	NA		Freezer	WB/IF	Kuiper
475	RUNX1			Human	rabbit Ab	Cell Signaling Technology	4334S		Abs freezer box 1	NA		Freezer	WB	Kuiper
476	CD45RA BV605	HI100	BV605	Human	Mouse IgG2b, kappaa	Biolegend	304133		Abs box 3	B1		Fridge	NA	Kuiper
477	CD117 APC 	YB5.B8	APC	Human	mouse IgG1 kappa	BD Pharmingen	561118		Abs box 3	D1	YES	Fridge	NA	Kuiper
478	anti-mouse IgG AF488	n.a.	Alexa Fluor 488	Mouse	Goat / IgG	invitrogen	2220848	IF	Abs box 5	B1		Fridge	NA	Kuiper
479	mouse IgG FITC isotype control		FITC		mouse mAb	Merck	12-487		Abs freezer box 1	NA		Freezer	FACS	Kuiper
480	anti-rabbit IgG AF594	n.a.	Alexa Fluor 594	rabbit	goat	invitrogen	2165334	IF	Abs box 5	A5		Fridge	NA	Kuiper
481	CD3 BV650	UCHT1	Brilliant Violet 650	Human	mouse IgG1 kappa	BioLegend	300467		Abs box 1	A7		Fridge	NA	Kuiper
482	CD44 BV510	IM7	BV510	Human	Rat IgG2b, k 	Biolegend	103044		Abs box 3	A2		Fridge	NA	Kuiper
483	CD4 APC/Cy7	SK3	APC/Cy7	Human 	Mouse IgG1, κ	BioLegend	344616		Abs box 1	B8		Fridge	NA	Kuiper
484	Lineage (CD3/14/19/20/56) APC	n.a.	APC	Human	mouse IgG1 + IgG2b kappa	BioLegend	348803		Abs box 4	B1		Fridge	NA	Kuiper
485	TCRab FITC	IP26	FITC	Human	Mouse IgG1, κ	Biolegend 	306705		Abs box 4	B8		Fridge	NA	Kuiper
486	SF3B1	D7L5T		Human	Rabbit mAb	Cell Signaling Technology	14434S	1:1000 WB	Abs freezer box 2	NA		Freezer	WB (+FACS?)	Kuiper
487	PMS1	E-3	n.a.	Human	Mouse mAb	Santa Cruz Biotechnology	sc-515302	WB	Abs box 5	B9		Fridge	NA	Kuiper
488	Zombie NIR Dye					BioLegend	77184		Abs freezer box 1	NA		Freezer	FACS	Kuiper
489	CD8a BV785	SK1	Brilliant Violet 785	Human	mouse IgG1 kappa	BioLegend	344739		Abs box 1	C5		Fridge	NA	Kuiper
490	CD7 APC	CD7-6B7	APC	Human	mouse IgG2a kappa	BD Bioscience	343107		Abs box 1	C2		Fridge	NA	Kuiper
491	Vybrant DyeCycle Violet Stain	n.a.	n.a.	Human	n.a.	Invitrogen	V35003	FACS	Abs box 5	E6		Fridge	NA	Kuiper
492	rabbit IgG PE isotype control	DA1E	PE		rabbit mAb	Cell Signaling Technology	5742S	FACS	Abs box 5	A2		Fridge	NA	Kuiper
493	CD8a BV650	RPA-T8	Brilliant Violet 650	Human	Mouse IgG1, κ	BD Bioscience	563821		Abs box 1	C6		Fridge	NA	Kuiper
494	CD11b APC/Cy7	ICRF44	APC/Cy7	Human	mouse IgG1 kappa	BioLegend	301341		Abs box 1	D6	YES (2x)	Fridge	NA	Kuiper
495	MSH2 antibody aliquots	D24B5		Human	rabbit mAb	Cell Signaling Technology	2017S	1:2000	Abs freezer box 2	NA		Freezer	WB	Kuiper
496	CD44 PE	?	PE	Human	?	Miltenyi	130095180		Abs box 3	A3		Fridge	NA	Kuiper
497	CD15 (SSEA-1) PE	HI98	PE	Human	Mouse IgM kappa	Biolegend	301905	1:50 (Inge: 1:20)	Abs box 2	A7		Fridge	NA	Kuiper
498	CD43 BV421	1G10	Brillian Violet 421	Human	Mouse IgG1, κ	BD Biosciences	562916		Abs box 3	A1		Fridge	NA	Kuiper
499	MBD4			Human	rabbit polyclonal	Abcam	ab12187		Abs freezer box 1	NA		Freezer	WB	Kuiper
500	CD127 BV421	HIL-7R-M21	BV421	Human	Mouse IgG1, kappa	BD Bioscience	562436		Abs box 3	D10		Fridge	NA	Kuiper
501	Lineage (CD3/14/19/20/56) FITC	n.a.	FITC	Human	mouse IgG1 + IgG2b kappa	BioLegend	348701	1:20	Abs box 4	A10	YES	Fridge	NA	Kuiper
502	CCRL1 BV711	13E11	Brilliant Violet 711	Human	Mouse BALB/c IgG2b, κ	BD Bioscience	747803		Abs box 4	C10		Fridge	NA	Kuiper
503	CD45 FITC	HI30	FITC	Human	mouse IgG1 kappa	BioLegend	304005	1:50	Abs box 3	A7		Fridge	NA	Kuiper
504	CD123 PE/Cy7	6H6	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	306009		Abs box 3	D8		Fridge	NA	Kuiper
505	CD54	HCD54	None	Human	Mouse	Biolegend	322702	Interaction blocking	Abs box 5	C3	YES 	Fridge	NA	Kuiper
506	S100A4 PerCP-Cy5.5	NJ04F3-D1	PerCP-Cy5.5	Human	n.a.	Biolegend	370009	FACS (intracellular)	Abs box 5	D6		Fridge	NA	Kuiper
507	CD235a PE/Cy7	6A-R2	PE/Cy7	Human	mouse IgG2b kappa	BioLegend	563666		Abs box 4	A7		Fridge	NA	Kuiper
508	CD3 PE-Cy7	SK7	PE-Cy7	Human	mouse IgG1 kappa	BioLegend	344815		Abs box 1	A6	YES	Fridge	NA	Kuiper
509	Lamin A + C Antibody 	133A2	AF700	Human	Mouse mAb	NovusBio	NBP1-97688AF700	FACS	Abs box 5	C7		Fridge	NA	Kuiper
510	TCR Vg9 APC	B3	APC	Human	Mouse IgG1, κ	Biolegend	331309		Abs box 4	C9		Fridge	NA	Kuiper
511	PageRuler Prestained Protein ladder					Thermo Fisher	26616		Abs freezer box 1	NA		Freezer	WB	Kuiper
512	MSH2	D24B5		Human	rabbit mAb	Cell Signaling Technology	2017S	1:2000	Abs freezer box 1	NA		Freezer	WB	Kuiper
513	CD40 AF700	5C3	Alexa Fluor 700	Human	mouse IgG1 kappa	BioLegend	334327	1:50	Abs box 2	D7		Fridge	NA	Kuiper
514	CD3 BV711	UCHT1	BV711	Human	Mouse IgG1, kappa	BioLegend	300463		Abs box 1	A4		Fridge	NA	Kuiper
515	NFIA			Human	Rabbit	Sigma	HPA008884-25ul	1:500 IF	Abs freezer box 2	NA		Freezer	WB/IF	Kuiper
516	CD123 APC Fire 750	6H6	APC Fire 750	Human	Mouse IgG1 k 	BioLegend	306041		Abs box 3	D9		Fridge	NA	Kuiper
517	CD40 BUV563	5C3	BUV563	Human	?	BD Bioscience	741381		Abs box 2	D10		Fridge	NA	Kuiper
518	CD19 BV421	HIB19	BV421	Human	Mouse IgG1	BioLegend	302233		Abs box 2	B8		Fridge	NA	Kuiper
519	TDG			Human	rabbit polyclonal	abcam	ab227498		Abs freezer box 1	NA		Freezer	WB	Kuiper
520	CD5 APC	UCHT2	APC	Human	Mouse IgG1, κ	BioLegend	300611		Abs box 1	B10		Fridge	NA	Kuiper
521	CD56 BB700	NCAM16.2	BB700	Human	Mouse BALB/c IgG2b, κ	BD Bioscience	566574	1:500	Abs box 3	B6	YES	Fridge	NA	Kuiper
522	CD127 AF488	HIL-7R-M21	AF488	Human	Mouse IgG1, κ	BD Pharmingen	567403		Abs box 3	E1		Fridge	NA	Kuiper
523	CD58	TS2/9	None	Human	Mouse	Biolegend	330902	Interaction blocking	Abs box 5	C4	YES (2x) 	Fridge	NA	Kuiper
524	aliquot CD45 BV510		Brilliant Violet 510						Abs box 5	E2		Fridge	NA	Kuiper
525	CD11c BUV661	B-ly6	BUV661	Human	Mouse BALB/c IgG1, κ	BD Bioscience	565067/612968	1:200	Abs box 1	E1	YES	Fridge	NA	Kuiper
526	CD30 APC/Fire750	BY88	APC/Fire750	Human	Mouse IgG1, k	BioLegend	333915		Abs box 2	C6		Fridge	NA	Kuiper
527	Anti-rabbit IgG AF488	n.a.	Alexa Fluor 488	Rabbit	Goat	invitrogen	2284595	IF	Abs box 5	A7		Fridge	NA	Kuiper
528	CD45 PerCP/Cy5.5	HI30	PerCP/Cy5.5	Human	mouse IgG1 kappa	BioLegend	304027		Abs box 3	A8	YES	Fridge	NA	Kuiper
529	Ig lambda light chain AF700	MHL-38	AF700	Human	Mouse IgG2a, κ	BioLegend	316631	FACS	Abs box 5	E3		Fridge	NA	Kuiper
530	CD5 PE	UCHT2	PE	Human	Mouse IgG1, κ 	BioLegend	300608		Abs box 1	C1		Fridge	NA	Kuiper
531	FANCA	EPR16519		Human	rabbit monoclonal	Abcam	ab201457		Abs freezer box 1	NA		Freezer	WB	Kuiper
532	CD16 PerCP/Cy5.5	3G8	PerCP/Cy5.5	Human	Mouse IgG1, k	BioLegend	302027		Abs box 2	B2		Fridge	NA	Kuiper
533	LFA-1 (CD11a/CD18)	M24	None	Human	Mouse mAb	Biolegend	363402	Interaction blocking	Abs box 5	C5	YES	Fridge	NA	Kuiper
534	CD20 FITC	2H7	FITC	Human	mouse IgG2b kappa	BioLegend	302303	1:50	Abs box 2	B9	YES	Fridge	NA	Kuiper
535	DAPI 500 uM	n.a.	n.a.	Human	n.a.	Thermo	D3571	All (IF 1:2000, FACS 1:500)	Abs box 5	D7		Fridge	NA	Kuiper
536	TCRgd APC	11F2	APC	Human	Mouse IgG1, k 	Miltenyi	130-113-500		Abs box 4	B9		Fridge	NA	Kuiper
537	CENPH antibody			Human		Sigma	HPA036494		Abs freezer box 2	NA		Freezer	WB/IF	Kuiper
538	CD42b APC Vio770	?	APC Vio770	Human	?	Milteny Biotec	130100202		Abs box 2	E4		Fridge	NA	Kuiper
539	CD11b BV785	ICRF44	BV785	Human	Mouse IgG1, κ	Biolegend	301345		Abs box 1	D5		Fridge	NA	Kuiper
540	POLH	B-7	n.a.	Human	Mouse mAb IgG1 κ 	Santa Cruz Biotechnology	sc-17770	WB (?)	Abs box 5	C1		Fridge	NA	Kuiper
541	RNASEH1			Human	rabbit polyclonal	Proteintech	15606-1-AP	1:1000 WB	Abs freezer box 2	NA		Freezer	WB	Kuiper
542	CD41 APC/Fire750	HIP8	APC/Fire750	Human	Mouse IgG, kappa	Biolegend	303749		Abs box 2	E2		Fridge	NA	Kuiper
543	CD95 APC	DX2	APC	Human	mouse IgG1 kappa	BioLegend	305611		Abs box 3	C7		Fridge	NA	Kuiper
544	CD41 BV510	HIP8	BV510	Human	Mouse IgG1, kappa	BioLegend	303735		Abs box 2	E1		Fridge	NA	Kuiper
545	CD326 (EpCAM) Pe/Cy7	9C4	Pe-Cy7	Human	Mouse IgG2b, κ	Biolegend	324221	FACS	Abs box 5	D3		Fridge	NA	Kuiper
546	CD90 APC	5E10	APC	Human	mouse IgG1 kappa	BioLegend	328113	1:200	Abs box 3	C4	YES	Fridge	NA	Kuiper
547	CD30 APC	BY88	APC	Human	mouse IgG1 kappa	BioLegend	333909	1:25	Abs box 2	C5		Fridge	NA	Kuiper
548	Anti-phopho-histone H3 (Ser10)	n.a.	n.a.	Human	n.a.	EMD Millipore	06-570		Abs box 5	D8	YES	Fridge	NA	Kuiper
549	CD38 PE	HIT2	PE	Human	mouse IgG1 kappa	BioLegend	303505	1:50	Abs box 2	D6	YES	Fridge	NA	Kuiper
550	p95/NBS1 (Y112)			Human	rabbit monoclonal	Abcam	ab32074		Abs freezer box 1	NA		Freezer	WB	Kuiper
551	CD3 APC/Fire750	SK7	APC/Fire750	Human	mouse IgG1 kappa	BioLegend	344839	1:100	Abs box 1	B1	YES	Fridge	NA	Kuiper
552	CD20 BV421	2H7	Brilliant Violet 421	Human	mouse IgG2b kappa	BioLegend	302329	1: 50	Abs box 2	B10	YES	Fridge	NA	Kuiper
553	CD10PE/CY5	H10a	PE Cy5	Human	mouse IgG1 kappa	Biolegend	312206		Abs box 1	D4		Fridge	NA	Kuiper
554	anti-mouse IgG IRDye 680RD	n.a.	IRDye 680CW	Mouse	goat	LI-COR	925-68070	WB (1:10000)	Abs box 5	B2		Fridge	NA	Kuiper
555	CD8a APC/Cy7	HIT8a	APC/Cy7	Human	Mouse IgG1, κ	Biolegend	300925		Abs box 1	C10		Fridge	NA	Kuiper
556	S9.6 (Anti-DNA-RNA Hybrid)	S9.6		Human	mouse monoclonal	Kerafast	ENH001		Abs freezer box 1	NA		Freezer	WB/IF/IP	Kuiper
557	Vybrant DyeCycle Ruby stain					Invitrogen	V10309		Abs freezer box 1	NA		Freezer	FACS	Kuiper
558	CD117 BV421	YB5.B8	BV421	Human	Mouse IgG1, k 	BD Bioscience	562434	1:50	Abs box 3	D3		Fridge	NA	Kuiper
559	CD14 PE CF594	MphiP9	PE CF594	Human	?	BD Biosciences	562334		Abs box 2	A5		Fridge	NA	Kuiper
560	HLA-DR BUV737	G46-6	BUV737	Human	Mouse IgG2a, κ	BD Bioscience	748339		Abs box 4	B3		Fridge	NA	Kuiper
561	CD15 AF700	HI98	AF700	Human	Mouse IgM kappa	BioLegend	301919		Abs box 2	A9		Fridge	NA	Kuiper
562	MLH3	H-2	n.a.	Human	Mouse mAb	Santa Cruz Biotechnology	sc-25313	WB (?)	Abs box 5	B7		Fridge	NA	Kuiper
563	CD265 (RANK) AF647	9A725	AF647	Human	IgG1, k 	BD Pharmigen	566348	FACS	Abs box 5	D2		Fridge	NA	Kuiper
564	CellTrace Violet					Invitrogen	C34571		Abs freezer box 1	NA		Freezer	FACS	Kuiper
565	CD33 PE/Cy7	WM53	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	303433	1:20	Abs box 2	C9	YES	Fridge	NA	Kuiper
